INSERT_UPDATE Currency;isocode[unique=true];name[lang=de];name[lang=en];active;base;conversion;digits;symbol
;USD;US-Dollar;US Dollar;true;false;1,38;2;$
;GBP;Pfund Sterling;Pound Sterling;true;false;0,68;2;�
